Z,2022-07-06,2022-08-02,2022-08-17,2022-09-06,2022-10-06,2022-11-04,2022-12-01,2023-01-19,2023-02-08,2023-03-08,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-3.7,452.1267123295916,617.1867980919915,713.2626885460311,989.3421182846141,1195.9267655229896,615.2958582733974,889.394915066899,1012.0932842095527,947.9452686988888,506.92402484457403,497.64433969485736,478.0242927101576,998.4583783224234,565.3342811585511,474.3229337264609,487.0310708863596,437.8937997103444,378.6239012540789,932.1476046912877,799.2602558598326,499.26379496913466,492.21837814708897,484.33895113956913,503.82619938387984,586.0161560471528,301.6613506750101,790.4228739127075,722.532853687763
-3.6,450.69765947011615,614.5198684880777,714.7913911862298,994.9015881210562,1205.825986034071,613.5841631031385,889.4012907605218,1012.0159948115966,948.1436232790246,505.66141782099305,496.28448021621807,476.8478783550127,999.6774340823447,565.5411992126188,473.51461354171107,485.57683828884205,436.7006756344394,372.62019282482225,929.0235902144825,797.9258014542294,497.621119886505,490.6460417388172,482.8092230178963,502.250907684761,583.0084344419168,297.9764219790793,787.4642113818883,720.8438772269544
-3.5,450.2909969544538,614.1937700973989,715.5080811933304,997.2248379568225,1209.339963115964,613.1152320272679,889.5642561758704,1012.0811425969001,948.4047179298948,505.27301571808687,495.8673997680498,476.51364623260946,1001.2789138091631,565.8723246065779,473.4142910634858,485.1516705348496,436.3537881491767,370.6862801253174,928.7184868687708,797.5917210716683,497.1918486992944,490.24581795498585,482.42288157199226,501.85339923565454,582.5369184920083,296.9790226828667,786.5507097760412,721.0161137172834
-3.4,448.3474779515077,615.3752056139713,717.2287055988206,1004.987413910311,1218.4271861254529,610.7522644004532,888.2906442218045,1009.7262036439317,947.37835556124,502.95358170603714,493.52363519893646,474.6239459551409,1011.0944035437751,566.7157128261596,472.8678040138081,482.9960333729422,434.49616295990506,365.07527242137394,929.084541308053,795.0470083734422,495.39539005270404,488.53762043333995,480.7780763667234,500.1502379782362,582.9309930762474,294.4978636550449,782.3763270122059,724.1518521584336
-3.3,447.83841852920426,616.584601374306,717.3712595912807,1006.4937568098109,1219.1470424111806,610.106752696925,887.4655173485977,1008.4266873554591,946.5701495502168,502.214585665036,492.8082077999882,474.052178809549,1014.7557614039482,566.8328376178628,472.7533196778818,482.3964119539991,433.9557806560845,364.44486653459046,929.8404934183081,794.1429129491704,495.00784614661575,488.16156341551266,480.4185083203249,499.7745401643673,583.8737111548071,294.4327094765131,781.3137097151915,725.8365258031826
-3.2,443.0688209432357,656.341625051566,695.5366446715489,974.8194250792691,1127.1666430675803,601.9037267883118,848.9163140458812,957.8518746427548,904.0013023163295,489.4909681580809,481.9064445119651,464.7853691812497,1059.8433981665607,554.247425400853,469.4016657179555,475.3781171100473,426.5567568481181,405.3174325803357,947.6600348115056,772.0031890628271,494.40239968653054,487.13743886535497,479.45458729262447,498.61992469495436,619.433586215027,320.0252748168669,775.0266208795994,759.836697991838
-3.1,431.33009849801647,792.8266577509632,630.053562182734,870.2814771252893,869.4996092352822,579.6388132497556,738.5692514011628,814.0502701776677,781.6988351857713,453.90976943340917,451.99038758270154,438.6801431702251,1187.0781124882833,510.4327455486416,458.73227534013256,457.8448370267066,406.2331544490676,591.665752816998,1005.7240357739568,710.4405739879138,494.6005408315678,485.76877172568186,478.11640689151284,496.72397783385503,741.4069354550339,425.71208579506697,763.7557962310448,862.473639124481
-3.0,418.5201540654847,929.5948667260802,539.3527735542758,730.0288802539818,606.872894518467,553.7574600642962,604.1026383006875,651.2126487092327,632.725651562977,414.08930937517056,418.365788659976,408.7465251313409,1235.4900062348675,451.2933548562823,443.38214979358196,438.30485374141153,384.8295048297277,943.5232153431099,1005.1960010908477,634.0130935054053,496.98796108583446,485.73555867655494,477.9242033361124,495.99024305146526,861.0385431706386,582.4747565195748,759.3571036892916,926.650624151676
-2.9,401.82622153801043,758.2515306897895,395.27799122681535,546.8251460851315,391.17089688414177,525.0574522130304,443.6524752076199,498.3132702084589,456.01159477374773,381.62914209633806,388.4535515034805,382.38038499158415,856.3092676629747,389.45249674511507,416.1393971311483,410.72888470983975,372.3253109596718,1115.0938281814676,681.4469162878314,530.4561098451632,499.14172128100836,484.78188120447265,476.692870878085,494.96773865808984,699.9844792941934,516.8921719475002,761.2914855622645,703.7009498187497
-2.8,384.5249834326545,461.8844591868384,283.4717346927424,401.83161038003936,275.920609998974,506.4549821906586,333.6603705084138,412.8188623781107,336.01798903038724,376.07098710102525,378.9873019061419,374.84109736200634,470.02855537220796,348.5474569379202,374.26390810018336,378.6105137988397,378.16178299903925,697.5426765851976,350.31071858949747,444.18126610107987,495.5262662257629,479.6191766183349,471.2748711257654,490.47146398406164,424.4183278610026,222.87480422587635,717.1709220721268,431.7184845252738
