a,b,m,n,vp,i,K,resist,zpos,spacing,app,eca,appdiffa,ecadiffa,appdiff,ecadiff,irecip,name,time
2,11,5,8,16.907,23.994,5.506705589363202,0.7046344919563224,-2.225,3,3.9018258517193476,256.2902697359873,-0.38724599260190695,23.139593716418318,-9.028666496100362,9.924737989812282,17,RD2,2023-12-13
4,10,6,8,21.469,16.833,3.737150449844826,1.2754113942850356,-2.15,2,4.726413192614245,211.5769314377032,-0.23484337757857077,10.015092042419582,-4.733546315453783,4.968744119653993,18,RD2,2023-12-13
6,9,7,8,71.645,19.127,1.882616083862525,3.7457520782140428,-2.0749999999999997,1,6.768597559086881,147.7410927847962,0.5256813564119875,-12.440458197985123,8.420445499280442,-7.766473805290103,19,RD2,2023-12-13
1,13,5,9,16.341,29.448,6.940741393216954,0.5549103504482478,-2.1500000000000004,4,3.867186567477188,258.5859209405466,-1.0768469087831996,56.32191831967663,-21.780736598040082,27.845744961968443,21,RD2,2023-12-13
3,12,6,9,16.898,20.744,5.443253015796695,0.8145969919012727,-2.0749999999999997,3,4.42421754979941,226.02866806252308,-0.3395766053286984,16.11195725680443,-7.128280405717204,7.675404780763887,23,RD2,2023-12-13
5,11,7,9,28.597,18.394,3.72263957071142,1.5546917473089052,-2.0,2,5.689987565508044,175.74730849358414,-0.06894461449728517,2.1040064467323703,-1.1971770519655847,1.2116830433025716,24,RD2,2023-12-13
7,10,8,9,60.854,13.539,1.8815348960355187,4.494718960041362,-1.925,1,8.231536541124068,121.48400180258979,1.3744264661647216,-24.350028724611363,20.043815122405924,-16.697082729308207,25,RD2,2023-12-13
2,14,6,10,16.634,24.51,6.652784442896036,0.6786617707058343,-1.9999999999999998,4,4.516372672378716,221.4166262487176,-1.4268981302315167,53.15910724742815,-24.00863392603338,31.593896999646574,28,RD2,2023-12-13
4,13,7,10,17.54,17.512,5.33717763171659,1.0015989036089539,-1.9249999999999998,3,5.33651864920637,187.3880830808521,-0.5999218087915121,18.93697048647786,-10.105749616055967,11.241819774783902,30,RD2,2023-12-13
6,12,8,10,30.107,15.735,3.6980055213917984,1.913377820146171,-1.85,2,7.00114203641477,142.83383979338495,1.2185843623805015,-30.100016878785254,21.073449346685756,-17.405508359098064,31,RD2,2023-12-13
8,11,9,10,80.654,14.658,1.8796664873194247,5.502387774594078,-1.7750000000000001,1,10.060946945973358,99.39422256870412,2.062228024592903,-25.625797490635023,25.781978900153607,-20.49735512638061,32,RD2,2023-12-13
3,15,7,11,17.082,21.458,6.148619559249876,0.7960667350172431,-1.8499999999999999,4,4.8916304082604185,204.4308168318105,-3.7300299111182085,88.44387661887582,-43.26347562933257,76.25330615369808,35,RD2,2023-12-13
5,14,8,11,19.301,16.694,5.1456240914694025,1.1561638912184018,-1.775,3,5.947726553800566,168.1314685459111,-1.22002660644781,28.617735630846795,-17.021046612123204,20.512486500715465,37,RD2,2023-12-13
7,13,9,11,31.373,14.933,3.6525091059037025,2.1009174311926606,-1.7000000000000002,2,7.627067587740681,131.11198878155264,0.5242417407230171,-9.677046672537813,7.380748902116695,-6.873437722849786,38,RD2,2023-12-13
9,12,10,11,65.912,11.083,1.8761361487197266,5.947126229360282,-1.625,1,10.979713646392286,91.07705648849776,4.472196191633412,-62.59137497590211,68.7235373969369,-40.73144651730408,39,RD2,2023-12-13
4,16,8,12,17.673,18.764,5.199877495596897,0.9418567469622681,-1.7,4,4.903473528842553,203.937065045408,-4.996666272366443,102.9283904125628,-50.470663775437345,101.90054545977914,42,RD2,2023-12-13
6,15,9,12,21.822,16.467,4.763257097143395,1.3251958462379305,-1.625,3,6.3069168922005465,158.55607693779044,,,,,44,RD2,2023-12-13
8,14,10,12,31.795,13.687,3.558118421144393,2.323007233140937,-1.55,2,8.204249660797245,121.88805086933755,-1.1804599754521288,15.33174398719379,-12.578545540636494,14.388396553712596,45,RD2,2023-12-13
10,13,11,12,66.452,9.741,1.8685752249224108,6.821886869931219,-1.475,1,12.304861832571786,81.26868985663322,2.428014195848922,-19.978189388716743,24.58288600931113,-19.732153264994878,46,RD2,2023-12-13
7,16,10,13,21.593,15.042,3.899908121697674,1.4355138944289323,-1.475,3,5.600728356814673,178.54820592811868,-11.300853805218217,119.38214736548517,-66.86269780473009,201.7747172377666,51,RD2,2023-12-13
9,15,11,13,29.634,11.804,3.3263922214480157,2.510504913588614,-1.4000000000000001,2,8.296144702242056,120.5379168145111,-24.81057795725923,90.33257120283938,-74.94120820243393,299.0615381932056,52,RD2,2023-12-13
11,14,12,13,72.935,10.767,1.8490027606959014,6.773938887340949,-1.325,1,12.073492918214024,82.82607251886519,-4.721488761664476,23.284477353086224,-28.112497242680128,39.1062370570629,53,RD2,2023-12-13
10,16,12,14,27.405,10.053,2.59993874779845,2.7260519247985675,-1.25,2,7.083221935593602,141.17869086876155,,,,,58,RD2,2023-12-13
12,15,13,14,67.85,10.146,1.779059210572197,6.68736447861226,-1.175,1,11.498645634200882,86.966763896581,,,,,59,RD2,2023-12-13
13,16,14,15,65.028,9.986,1.2999693738992246,6.5119166833566995,-1.0250000000000001,1,8.46237119667999,118.17018856279032,,,,,64,RD2,2023-12-13
1,4,2,3,76.138,38.903,1.8843772118804263,1.9571241292445314,-2.825,1,3.9547633256643526,252.8596322087143,-2.1087433557232713,87.93856383262542,-34.77762071568607,53.32160693507563,1,RD2,2024-02-09
2,5,3,4,106.41,38.347,1.88422622179055,2.774923722846637,-2.675,1,5.770969795878915,173.28110098827864,0.2849042956045613,-8.998895477310555,5.193235399583062,-4.936853001864835,3,RD2,2024-02-09
1,7,3,5,30.325,31.198,3.7564016479116678,0.9720174370151933,-2.6,2,3.629291171503405,275.5358974368975,-0.08774391211806654,6.504269404560091,-2.3605887527049783,2.4176597570075598,5,RD2,2024-02-09
3,6,4,5,76.569,33.217,1.8840176612835497,2.3051148508293946,-2.5249999999999995,1,4.425650618094825,225.95547780282863,-0.8418904146356256,36.11357741963482,-15.982607622882217,19.02297508966143,6,RD2,2024-02-09
2,8,4,6,26.404,24.633,3.7522722974394527,1.0718954248366013,-2.4499999999999997,2,4.112052983148641,243.18752800560702,0.21468061792299942,-13.39560193150487,5.508342488351644,-5.220764878341032,8,RD2,2024-02-09
4,7,5,6,73.852,28.135,1.883721200271019,2.624915585569575,-2.375,1,4.860626475509831,205.73479674656753,-0.4363247608364924,16.94695344186502,-8.237281057876153,8.976718598619051,9,RD2,2024-02-09
1,10,4,7,16.567,25.315,5.5470082820877025,0.6544341299624729,-2.3749999999999996,3,3.6450575423860534,274.3440915188956,-0.11212014849135832,8.186863334547866,-2.984158794607741,3.07595002788255,12,RD2,2024-02-09
3,9,5,7,20.099,17.498,3.74626054952539,1.1486455594925133,-2.3000000000000003,2,4.278534379808313,233.72489530978174,-0.1690830343352152,8.885412304796574,-3.8016542024843947,3.951891449865843,13,RD2,2024-02-09
5,8,6,7,75.198,23.001,1.883285077845799,3.269336115821051,-2.2249999999999996,1,5.879396516836343,170.08548362682842,0.21202234153040234,-6.363074218042868,3.741103639393225,-3.6061922498891197,14,RD2,2024-02-09
2,11,5,8,16.58,21.782,5.506705589363202,0.7611789551005417,-2.225,3,4.205891748198406,237.7617066412492,-0.08318009612284882,4.611030621680214,-1.939349564241493,1.9777041612751738,17,RD2,2024-02-09
4,10,6,8,21.008,15.185,3.737150449844826,1.383470530128416,-2.15,2,5.1353049192544145,194.73040369045665,0.17404834906159827,-6.8314357048269585,3.508150538056813,-3.3892505274422535,18,RD2,2024-02-09
6,9,7,8,62.028,15.89,1.882616083862525,3.903587161736941,-2.0749999999999997,1,7.237336022610671,138.1723878614769,0.9944198199357768,-22.009163121304425,15.928770908533082,-13.740136105730613,19,RD2,2024-02-09
1,13,5,9,16.119,26.254,6.940741393216954,0.6139635865011046,-2.1500000000000004,4,4.279693981040656,233.66156655827965,-0.6643394952197319,31.39756393740967,-13.43719654022713,15.523060717957934,21,RD2,2024-02-09
3,12,6,9,16.656,18.043,5.443253015796695,0.923128082913041,-2.0749999999999997,3,5.0153535703714205,199.38773726892865,0.25155941524331205,-10.528973536790005,5.280652502008603,-5.015786259405876,23,RD2,2024-02-09
5,11,7,9,29.824,16.904,3.72263957071142,1.764316138192144,-2.0,2,6.493669520116942,153.99613375797284,0.7347373401116126,-19.64716828887893,12.75822178741012,-11.314670970480512,24,RD2,2024-02-09
7,10,8,9,68.16,13.062,1.8815348960355187,5.218190169958659,-1.925,1,9.49006467057867,105.3733598992454,2.6329545956193234,-40.46067062795575,38.3974380874283,-27.74432722025671,25,RD2,2024-02-09
2,14,6,10,16.383,21.704,6.652784442896036,0.7548378179137486,-1.9999999999999998,4,5.023945200214803,199.0467571097798,-0.9193256023954293,30.789238108490366,-15.468344501342079,18.298877988480513,28,RD2,2024-02-09
4,13,7,10,17.46,15.388,5.33717763171659,1.1346503769170784,-1.9249999999999998,3,6.046905771419781,165.37383544595988,0.11046531342189869,-3.0772771484143675,1.8608004949005097,-1.8268072564319406,30,RD2,2024-02-09
6,12,8,10,31.204,14.469,3.6980055213917984,2.1566106849125717,-1.85,2,7.925905547849352,126.1685486866979,2.1433478738150837,-46.765307985472305,37.06574140089384,-27.04230905699689,31,RD2,2024-02-09
8,11,9,10,78.74,12.796,1.8796664873194247,6.153485464207565,-1.7750000000000001,1,11.244614580337583,88.93146073219863,3.245895658957128,-36.088559327140516,40.5801940393342,-28.86622423353599,32,RD2,2024-02-09
3,15,7,11,16.755,18.971,6.148619559249876,0.8831901323072057,-1.8499999999999999,4,5.428744806361517,184.20464318532325,-3.19291551301711,68.21770297238858,-37.03365007132671,58.814986279619994,35,RD2,2024-02-09
5,14,8,11,19.845,15.352,5.1456240914694025,1.2926654507556017,-1.775,3,6.651536829675229,150.34119566753213,-0.5162163305731466,10.827462752467824,-7.201926726997653,7.760858036147282,37,RD2,2024-02-09
7,13,9,11,31.458,13.665,3.6525091059037025,2.3020856201975852,-1.7000000000000002,2,8.371241410700307,119.45659561576826,1.2684155636826429,-21.332439838322188,17.857900376583576,-15.152060506358417,38,RD2,2024-02-09
9,12,10,11,62.488,9.434,1.8761361487197266,6.62370150519398,-1.625,1,12.240740467039053,81.69440424725325,5.733223012280179,-71.97402721714663,88.1015387532697,-46.8372238404872,39,RD2,2024-02-09
4,16,8,12,17.406,16.9,5.199877495596897,1.0299408284023668,-1.7,4,5.356951909271405,186.67332037632744,-4.54318789193759,85.66464574348225,-45.89013875726059,84.80919688815175,42,RD2,2024-02-09
6,15,9,12,22.487,15.548,4.763257097143395,1.446295343452534,-1.625,3,6.880551178562328,145.33719378698774,,,,,44,RD2,2024-02-09
8,14,10,12,30.212,11.96,3.558118421144393,2.526086956521739,-1.55,2,8.927307091858452,112.01586208588954,-0.45740254439092176,5.459555203745779,-4.873912588879245,5.123634033022842,45,RD2,2024-02-09
10,13,11,12,65.273,8.885,1.8685752249224108,7.346426561620709,-1.475,1,13.29092360746757,75.23931590714622,3.4140759707447064,-26.007563338203738,34.56645375444402,-25.687274049385785,46,RD2,2024-02-09
7,16,10,13,21.86,14.151,3.899908121697674,1.5447671542647163,-1.475,3,6.0243477268087675,165.99307432901495,-10.877234435224125,106.82701576638144,-64.35630895939644,180.55455841002788,51,RD2,2024-02-09
9,15,11,13,28.645,10.379,3.3263922214480157,2.759899797668369,-1.4000000000000001,2,9.13527639930108,109.46576286148363,-23.971446260200207,79.2604172498119,-72.40658191009629,262.4052651765874,52,RD2,2024-02-09
11,14,12,13,70.353,9.754,1.8490027606959014,7.212733237646094,-1.325,1,12.906231552188702,77.48195094410926,-3.888750127689798,17.940355778330293,-23.154238580377722,30.130794662755967,53,RD2,2024-02-09
10,16,12,14,27.961,9.418,2.59993874779845,2.968889360798471,-1.25,2,7.691783251053717,130.00886366149325,,,,,58,RD2,2024-02-09
12,15,13,14,67.012,9.37,1.779059210572197,7.1517609391675565,-1.175,1,12.289476667501818,81.37042992598627,,,,,59,RD2,2024-02-09
13,16,14,15,63.941,9.228,1.2999693738992246,6.929020372778501,-1.0250000000000001,1,8.890966279195029,112.47371417210438,,,,,64,RD2,2024-02-09
1,4,2,3,71.402,40.819,1.8843772118804263,1.7492344251451528,-2.825,1,4.255696903083682,234.97914037895862,-1.807809778303942,70.05807200286975,-29.814592005862643,42.479758767453596,1,RD2,2024-03-19
2,5,3,4,91.797,39.176,1.88422622179055,2.3431948131509084,-2.675,1,5.299458352076021,188.69852984282022,-0.18660714819833224,6.418533377231029,-3.4014750314045683,3.521249452318658,3,RD2,2024-03-19
1,7,3,5,45.377,47.939,3.7564016479116678,0.9465570829595945,-2.6,2,3.694322187091565,270.6856493172491,-0.0227128965299066,1.6540212849116642,-0.6110487530770801,0.6148055145073322,5,RD2,2024-03-19
3,6,4,5,69.949,34.442,1.8840176612835497,2.0309215492712385,-2.5249999999999995,1,4.11371795059684,243.0891013942545,-1.153823082133611,53.247201011060696,-21.904396661823863,28.04818162038086,6,RD2,2024-03-19
2,8,4,6,47.542,45.458,3.7522722974394527,1.045844515816798,-2.4499999999999997,2,4.070929910122802,245.644121141313,0.17355754489716002,-10.939008795798884,4.453193809391415,-4.26333905837068,8,RD2,2024-03-19
4,7,5,6,61.568,23.948,1.883721200271019,2.5709036245197927,-2.375,1,4.826580663354596,207.18601215813405,-0.4703705729917278,18.398168853431542,-8.880024602910543,9.745420325469263,9,RD2,2024-03-19
1,10,4,7,44.032,68.221,5.5470082820877025,0.6454317585494201,-2.3749999999999996,3,3.6025176094413727,277.5836535480713,-0.15466008143603904,11.426425363723581,-4.116389858578165,4.293111046305805,12,RD2,2024-03-19
3,9,5,7,48.865,42.323,3.74626054952539,1.1545731635281054,-2.3000000000000003,2,4.310383276707808,231.99793053293902,-0.13723413743572088,7.158447527953854,-3.0855652511682563,3.1838035883560254,13,RD2,2024-03-19
5,8,6,7,66.103,19.097,1.883285077845799,3.461433733047075,-2.2249999999999996,1,6.261185799892581,159.71415510735304,0.5938116245866398,-16.734402737518252,10.47772047898327,-9.484012191377998,14,RD2,2024-03-19
2,11,5,8,43.699,53.902,5.506705589363202,0.8107120329486845,-2.225,3,4.494578882354979,222.49025463227383,0.2055070380337245,-10.660421387295145,4.791410484434214,-4.572331322084773,17,RD2,2024-03-19
4,10,6,8,51.777,33.795,3.737150449844826,1.5320905459387484,-2.15,2,5.69313358584005,175.65019069413688,0.7318770156472336,-25.91164870114673,14.751847748498717,-12.855433736309237,18,RD2,2024-03-19
