time,value,station_no,station_name
2022-02-21 00:00:00+01:00,2255.31,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-22 00:00:00+01:00,2423.97,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-23 00:00:00+01:00,2116.61,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-24 00:00:00+01:00,1966.09,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-25 00:00:00+01:00,2046.38,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-26 00:00:00+01:00,2361.64,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-27 00:00:00+01:00,2322.58,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-28 00:00:00+01:00,2034.08,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-01 00:00:00+01:00,1577.81,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-02 00:00:00+01:00,1721.66,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-03 00:00:00+01:00,1596.23,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-04 00:00:00+01:00,1475.29,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-05 00:00:00+01:00,1694.79,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-06 00:00:00+01:00,1637.37,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-07 00:00:00+01:00,1745.37,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-08 00:00:00+01:00,2020.22,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-09 00:00:00+01:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-10 00:00:00+01:00,2138.48,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-11 00:00:00+01:00,2071.43,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-12 00:00:00+01:00,2179.77,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-13 00:00:00+01:00,2193.37,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-14 00:00:00+01:00,2445.53,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-15 00:00:00+01:00,2583.75,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-16 00:00:00+01:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-17 00:00:00+01:00,2757.23,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-18 00:00:00+01:00,2855.21,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-19 00:00:00+01:00,3031.34,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-20 00:00:00+01:00,3123.12,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-21 00:00:00+01:00,3116.73,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-22 00:00:00+01:00,3011.8,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-23 00:00:00+01:00,2924.64,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
