time,count,min,max,median,mean,std,sem,field,pval
2020-11-09 11:03:01,126,0.3176470588235294,0.48627450980392156,0.39215686274509803,0.39290382819794584,0.031035043750576627,0.0027648214451951782,rd_grass,1.3406965782120064e-20
2020-11-14 11:03:19,126,0.23137254901960785,0.5019607843137255,0.3588235294117647,0.3625583566760038,0.05081398574112099,0.00452686964523074,rd_grass,8.793439862557834e-19
2020-12-01 10:54:19,126,0.34509803921568627,0.5098039215686274,0.4,0.40208527855586684,0.029675902870086493,0.002643739551977265,rd_grass,5.788994398693041e-26
2020-12-06 10:54:31,126,0.3215686274509804,0.4745098039215686,0.396078431372549,0.39844382197323375,0.0314738458214712,0.0028039130406688536,rd_grass,9.652388236995405e-36
2020-12-09 11:04:41,126,0.18823529411764706,0.9803921568627451,0.4745098039215686,0.49234360410831,0.16198349398526557,0.014430636590605266,rd_grass,7.308342090583707e-10
2021-01-10 10:53:29,71,0.23137254901960785,0.3764705882352941,0.30196078431372547,0.30284451808892565,0.03073219145804644,0.003647240113851133,rd_grass,
2021-01-25 10:53:31,126,0.3568627450980392,0.6431372549019608,0.4196078431372549,0.43429816370992846,0.05116425583501583,0.004558074185330446,rd_grass,1.094953394979174e-12
2021-02-24 10:50:31,126,0.3411764705882353,0.5803921568627451,0.4117647058823529,0.4194522253345783,0.04305342502102018,0.0038355039465670995,rd_grass,3.3114956058434937e-13
2021-02-27 11:00:11,126,0.33725490196078434,0.5372549019607843,0.42745098039215684,0.4306567071272955,0.030103498700001948,0.002681832816157191,rd_grass,3.184612569986809e-16
2021-03-06 10:50:31,126,0.34901960784313724,0.6549019607843137,0.4470588235294118,0.4575474634298165,0.05002292088604256,0.004456395986696895,rd_grass,7.042773835612409e-13
2021-03-11 10:47:49,126,0.3333333333333333,0.5137254901960784,0.4196078431372549,0.4217553688141924,0.029081482571619487,0.002590784382915183,rd_grass,7.600540483227641e-19
2021-03-14 10:57:29,126,0.39215686274509803,0.5607843137254902,0.4725490196078431,0.47556800497976975,0.02689133265857655,0.0023956703210037686,rd_grass,9.76135700590895e-08
2021-03-24 10:56:39,126,0.4392156862745098,0.596078431372549,0.5098039215686274,0.5123249299719888,0.023769212134942486,0.0021175297181548654,rd_grass,3.785989336356164e-20
2021-03-26 10:50:31,77,0.35294117647058826,0.5647058823529412,0.4666666666666667,0.46167557932263814,0.05211614679718868,0.005939186131862735,rd_grass,0.002732853356347052
2021-03-29 10:56:31,126,0.43529411764705883,0.7098039215686275,0.5568627450980392,0.5635854341736692,0.04636867392271074,0.0041308497928053065,rd_grass,2.945835874110915e-06
2021-03-31 10:46:19,126,0.44313725490196076,0.6901960784313725,0.5725490196078431,0.575132275132275,0.03789613983996673,0.003376056465772137,rd_grass,0.00017781557045077102
2021-04-13 10:56:19,126,0.5294117647058824,0.7529411764705882,0.6705882352941176,0.6649237472766883,0.03834882410261162,0.003416384785181698,rd_grass,0.1795594119657287
2021-04-18 10:56:11,126,0.5058823529411764,0.7254901960784313,0.6549019607843137,0.6506691565515094,0.038482416779162434,0.0034282861667301566,rd_grass,2.764824737667502e-07
2021-04-20 10:46:19,126,0.5215686274509804,0.6549019607843137,0.6058823529411764,0.6032057267351385,0.01865340170591636,0.0016617771019381807,rd_grass,5.6498057885277167e-61
2021-04-23 10:56:19,126,0.5490196078431373,0.7725490196078432,0.7176470588235294,0.7098972922502333,0.03812188976359449,0.0033961678674222675,rd_grass,8.947681507145111e-08
2021-04-25 10:50:21,126,0.5333333333333333,0.7450980392156863,0.6862745098039216,0.6822595704948646,0.03219989183005343,0.0028685943599819357,rd_grass,5.540276037193898e-34
2021-04-30 10:46:19,126,0.611764705882353,0.7803921568627451,0.7019607843137254,0.7000311235605352,0.025747443964914404,0.002293764616711193,rd_grass,7.149811579531219e-11
2021-05-05 10:50:31,55,0.3764705882352941,0.7019607843137254,0.5764705882352941,0.5599286987522281,0.09608953599937317,0.012956710390986828,rd_grass,1.5588677361962656e-43
2021-05-18 10:56:21,126,0.8156862745098039,0.9803921568627451,0.9568627450980393,0.9424836601307188,0.03438678807311348,0.003063418561933217,rd_grass,1.4076233923344855e-08
2021-05-30 10:46:19,126,0.8431372549019608,0.9803921568627451,0.9568627450980393,0.9436663554310614,0.03181144588193997,0.0028339888444790517,rd_grass,6.693804714513561e-16
2021-06-02 10:56:19,126,0.8431372549019608,0.9803921568627451,0.9647058823529412,0.951696234049175,0.03334761340244846,0.0029708415242512614,rd_grass,2.2151868040195572e-10
2021-06-07 10:56:21,126,0.8549019607843137,0.9803921568627451,0.9803921568627451,0.9610333022097729,0.02986473896962008,0.00266056240880368,rd_grass,2.7028283860161877e-05
2021-06-09 10:46:19,126,0.8156862745098039,0.9686274509803922,0.9450980392156862,0.9304077186430129,0.03430127027673375,0.003055800031111197,rd_grass,8.445207708202168e-07
2021-06-14 10:50:31,126,0.788235294117647,0.9686274509803922,0.9333333333333333,0.9187052598817308,0.039604091795285165,0.003528212919340523,rd_grass,0.0003537053206630691
2021-07-02 10:56:19,126,0.807843137254902,0.9450980392156862,0.9117647058823529,0.9014939309056959,0.03102675577035689,0.0027640830932330203,rd_grass,0.44882543286120424
2021-07-07 10:56:21,126,0.8117647058823529,0.9568627450980393,0.9176470588235294,0.9051042639277936,0.033951068639945126,0.003024601589655233,rd_grass,0.08550408064499647
2021-07-17 10:56:21,126,0.6627450980392157,0.8588235294117647,0.803921568627451,0.7890133831310303,0.040556053528272615,0.0036130204110109664,rd_grass,0.0010623382461934685
2021-07-19 10:46:19,126,0.5647058823529412,0.7019607843137254,0.6549019607843137,0.6505757858699035,0.029877337481633005,0.0026616847734592876,rd_grass,0.0003650336901089761
2021-07-22 10:56:19,126,0.5137254901960784,0.7137254901960784,0.6392156862745098,0.6330843448490506,0.03821792013270748,0.0034047229326590826,rd_grass,4.913569004497887e-07
2021-07-29 10:46:19,126,0.30196078431372547,0.4745098039215686,0.396078431372549,0.3981014628073453,0.028667772902622898,0.002553928196272781,rd_grass,0.0015829397326270326
2021-08-23 10:50:31,46,0.21568627450980393,0.41568627450980394,0.2823529411764706,0.30179028132992336,0.055308182485866664,0.008154746617088203,rd_grass,6.92594182541104e-05
2021-08-28 10:46:19,126,0.17647058823529413,0.40784313725490196,0.20784313725490197,0.21780267662620603,0.04283244257304252,0.0038158172654046475,rd_grass,0.2766644256425644
2021-08-31 10:56:19,126,0.25882352941176473,0.40784313725490196,0.3254901960784314,0.32405851229380644,0.027705913188390843,0.0024682389223490515,rd_grass,6.763960567608101e-11
2021-09-02 10:50:31,11,0.1843137254901961,0.2549019607843137,0.20784313725490197,0.21390374331550807,0.023312346130868893,0.007028936827180506,rd_grass,1.156955675028454e-07
2021-09-05 10:56:21,126,0.21176470588235294,0.4,0.27254901960784317,0.2836601307189543,0.04359321036965949,0.0038835918474482574,rd_grass,0.001386044214999277
2021-09-07 10:46:19,126,0.20784313725490197,0.30196078431372547,0.24705882352941178,0.24948646125116708,0.01754375227870483,0.0015629216739368593,rd_grass,1.3502112406272401e-20
2021-09-12 10:50:31,46,0.18823529411764706,0.30980392156862746,0.2607843137254902,0.2594202898550725,0.03426526736729338,0.005052138048804298,rd_grass,2.4385421381182854e-14
2021-09-25 10:58:11,126,0.1568627450980392,0.25882352941176473,0.1803921568627451,0.18316215375038902,0.017998488920375203,0.0016034328338021624,rd_grass,1.042469193955609e-135
