time,name,location,salinity_raw_ppm,salinity_factor,salinity_ppm,comment,sal,salinity_g.l-1,density_kg.m-3
2022-09-08,ditchCD,ditchA,,,58.0,,58.0,0.1474430000822105,1000.1053164286302
2022-09-08,CD1-150,A150,,,150.0,,150.0,0.3813181036608892,1000.2723700740435
2022-09-08,CD1-200,A200,,,740.0,,740.0,1.8811693113937202,1001.3436923652812
2022-09-08,CD1-300,A300,,,1800.0,,1800.0,4.57581724393067,1003.2684408885219
2022-09-08,CD2-150,B150,,,690.0,,690.0,1.7540632768400901,1001.2529023406
2022-09-08,CD2-200,B200,,,2100.0,,2100.0,5.338453451252448,1003.8131810366089
2022-09-08,CD2-300,B300,,,4800.0,,4800.0,12.202179317148454,1008.7158423693918
2022-09-08,CD3-150,C150,,,840.0,,840.0,2.1353813805009794,1001.5252724146436
2022-09-08,CD3-200,C200,,,1700.0,,1700.0,4.321605174823411,1003.0868608391596
2022-09-08,CD3-300,C300,,,2900.0,,2900.0,7.372150004110525,1005.2658214315076
2022-09-08,RD3-150,D150,,,,,763.3333333333333,1.9404854608520803,1001.3860610434658
2022-09-08,RD3-200,D200,,,,,140.0,0.3558968967501633,1000.2542120691072
2022-09-08,RD3-300,D300,,,940.0,,940.0,2.3895934496082387,1001.7068524640059
2022-09-08,RD2-150,E150,,,,,261.0,0.6634935003699473,1000.4739239288357
2022-09-08,RD2-200,E200,,,,,692.0,1.7591475182222354,1001.2565339415873
2022-09-08,RD2-300,E300,,,3600.0,,3600.0,9.15163448786134,1006.5368817770438
2022-09-08,RD1-150,F150,,,,,490.0,1.2456391386255712,1000.8897422418754
2022-09-08,RD1-200,F200,,,,,1800.0,4.57581724393067,1003.2684408885219
2022-09-08,RD1-300,F300,,,4600.0,,4600.0,11.693755178933936,1008.3526822706671
2022-10-06,ditchRD,ditchF,,,870.0,,870.0,2.2116450012331574,1001.5797464294523
2022-10-06,ditchCD,ditchA,,,60.0,,60.0,0.15252724146435567,1000.1089480296174
2022-10-06,CD1-150,A150,,,200.0,,200.0,0.5084241382145189,1000.3631600987246
2022-10-06,CD1-200,A200,,,600.0,,600.0,1.5252724146435568,1001.089480296174
2022-10-06,CD1-300,A300,,,1700.0,,1700.0,4.321605174823411,1003.0868608391596
2022-10-06,CD2-150,B150,,,550.0,,550.0,1.398166380089927,1000.9986902714928
2022-10-06,CD2-200,B200,,,820.0,,820.0,2.0845389666795278,1001.4889564047711
2022-10-06,CD2-300,B300,,,4000.0,,4000.0,10.168482764290378,1007.2632019744931
2022-10-06,CD3-150,C150,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2022-10-06,CD3-200,C200,,,690.0,,690.0,1.7540632768400901,1001.2529023406
2022-10-06,CD3-300,C300,,,2600.0,,2600.0,6.609513796788746,1004.7210812834205
2022-10-06,RD3-300,D300,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2022-10-06,RD2-300,E300,,,3800.0,,3800.0,9.660058626075859,1006.9000418757685
2022-10-06,RD1-200,F200,,,2100.0,,2100.0,5.338453451252448,1003.8131810366089
2022-10-06,RD1-300,F300,,,2600.0,,2600.0,6.609513796788746,1004.7210812834205
2022-11-06,CD1-150,A150,,,210.0,,210.0,0.5338453451252448,1000.3813181036609
2022-11-06,CD1-200,A200,,,670.0,,670.0,1.7032208630186385,1001.2165863307276
2022-11-06,CD1-300,A300,,,1500.0,,1500.0,3.8131810366088916,1002.7237007404349
2022-11-06,CD2-150,B150,,,450.0,,450.0,1.1439543109826675,1000.8171102221305
2022-11-06,CD2-200,B200,,,590.0,,590.0,1.4998512077328308,1001.0713222912377
2022-11-06,CD2-300,B300,,,2400.0,,2400.0,6.101089658574227,1004.3579211846959
2022-11-06,CD3-150,C150,,,100.0,,100.0,0.25421206910725946,1000.1815800493623
2022-11-06,CD3-200,C200,,,540.0,,540.0,1.372745173179201,1000.9805322665566
2022-11-06,CD3-300,C300,,,1600.0,,1600.0,4.067393105716151,1002.9052807897973
2022-11-06,RD3-300,D300,,,960.0,,960.0,2.4404358634296908,1001.7431684738783
2022-11-06,RD2-300,E300,,,2000.0,,2000.0,5.084241382145189,1003.6316009872465
2022-11-06,RD1-200,F200,,,1500.0,,1500.0,3.8131810366088916,1002.7237007404349
2022-11-06,RD1-300,F300,,,2500.0,,2500.0,6.3553017276814865,1004.5395012340582
2022-11-06,ditchRD,ditchF,,,99.0,,99.0,0.2516699484161869,1000.1797642488687
2022-11-06,ditchCD,ditchA,,,490.0,,490.0,1.2456391386255712,1000.8897422418754
2022-12-02,CD1-150,A150,,,81.0,,81.0,0.20591177597688018,1000.1470798399835
2022-12-02,CD1-200,A200,,,100.0,,100.0,0.25421206910725946,1000.1815800493623
2022-12-02,CD1-300,A300,,,2300.0,,2300.0,5.846877589466968,1004.1763411353336
2022-12-02,CD2-150,B150,,,120.0,,120.0,0.30505448292871135,1000.2178960592348
2022-12-02,CD2-200,B200,,,320.0,,320.0,0.8134786211432303,1000.5810561579594
2022-12-02,CD2-300,B300,,,1900.0,,1900.0,4.8300293130379295,1003.4500209378842
2022-12-02,CD3-150,C150,,,25.0,,25.0,0.06355301727681487,1000.0453950123406
2022-12-02,CD3-200,C200,,,1900.0,,1900.0,4.8300293130379295,1003.4500209378842
2022-12-02,CD3-300,C300,,,820.0,,820.0,2.0845389666795278,1001.4889564047711
2022-12-02,RD3-300,D150,,,66.0,,66.0,0.16777996561079125,1000.1198428325791
2022-12-02,RD3-200,D200,,,110.0,,110.0,0.27963327601798543,1000.1997380542986
2022-12-02,RD3-150,D300,,,1000.0,,1000.0,2.5421206910725944,1001.8158004936233
2022-12-02,RD2-150,E150,,,42.0,,42.0,0.10676906902504898,1000.0762636207322
2022-12-02,RD2-200,E200,,,84.0,,84.0,0.21353813805009797,1000.1525272414643
2022-12-02,RD2-300,E300,,,1000.0,,1000.0,2.5421206910725944,1001.8158004936233
2022-12-02,RD1-150,F150,,,250.0,,250.0,0.6355301727681486,1000.4539501234058
2022-12-02,RD1-200,F200,,,1700.0,,1700.0,4.321605174823411,1003.0868608391596
2022-12-02,RD1-300,F300,,,1700.0,,1700.0,4.321605174823411,1003.0868608391596
2022-12-02,ditchRD,ditchF,,,140.0,,140.0,0.3558968967501633,1000.2542120691072
2022-12-02,ditchCD,ditchA,,,260.0,,260.0,0.6609513796788746,1000.472108128342
2022-12-02,pitCD,CD-pit,,,190.0,,190.0,0.48300293130379296,1000.3450020937885
2022-12-02,pitRD,RD-pit,,,400.0,,400.0,1.0168482764290379,1000.7263201974494
2023-01-16,CD1-150,A150,,,32.0,,32.0,0.08134786211432303,1000.058105615796
2023-01-16,CD1-200,A200,,,27.0,,27.0,0.06863725865896005,1000.0490266133278
2023-01-16,CD1-300,A300,,,61.0,,61.0,0.15506936215542827,1000.1107638301111
2023-01-16,CD2-150,B150,,,36.0,,36.0,0.0915163448786134,1000.0653688177705
2023-01-16,CD2-200,B200,,,130.0,,130.0,0.3304756898394373,1000.2360540641711
2023-01-16,CD2-300,B300,,,640.0,,640.0,1.6269572422864607,1001.1621123159189
2023-01-16,CD3-150,C150,,,21.0,,21.0,0.05338453451252449,1000.038131810366
2023-01-16,CD3-200,C200,,,290.0,,290.0,0.7372150004110524,1000.5265821431508
2023-01-16,CD3-300,C300,,,400.0,,400.0,1.0168482764290379,1000.7263201974494
2023-01-16,RD3-300,D150,,,26.0,,26.0,0.06609513796788746,1000.0472108128342
2023-01-16,RD3-200,D200,,,100.0,,100.0,0.25421206910725946,1000.1815800493623
2023-01-16,RD3-150,D300,,,1000.0,,1000.0,2.5421206910725944,1001.8158004936233
2023-01-16,RD2-150,E150,,,22.0,,22.0,0.055926655203597075,1000.0399476108597
2023-01-16,RD2-200,E200,,,26.0,,26.0,0.06609513796788746,1000.0472108128342
2023-01-16,RD2-300,E300,,,450.0,,450.0,1.1439543109826675,1000.8171102221305
2023-01-16,RD1-150,F150,,,23.0,,23.0,0.05846877589466967,1000.0417634113534
2023-01-16,RD1-200,F200,,,32.0,,32.0,0.08134786211432303,1000.058105615796
2023-01-16,RD1-300,F300,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2023-01-16,ditchRD,ditchF,,,110.0,,110.0,0.27963327601798543,1000.1997380542986
2023-01-16,ditchCD,ditchA,,,67.0,,67.0,0.17032208630186385,1000.1216586330728
