Z,2022-10-06 00:00:00,2022-12-01 00:00:00,2023-01-19 00:00:00,2023-02-08 00:00:00,2023-03-08 00:00:00
-1.39,100.0411901435107,72.49983952472037,116.57781492256257,191.51622702276353,163.83803725095066
-1.37,100.90226735317862,74.19038200860922,117.69994101893764,192.0216439356143,168.4999472223446
-1.36,100.52265997506778,83.53610019704513,119.93029817787786,186.99620338199955,145.17656262302043
-1.34,101.12030463382408,76.80921107009137,119.74331692693615,188.00097560795675,159.26725277890128
-1.33,96.24677355608566,70.1407533237658,92.24558132864678,153.295771105181,149.43429575606112
-1.31,101.54187171426697,73.34371220306001,117.74505188331692,181.33656326108516,160.47378705332397
-1.3,97.47658190969182,70.00584301385473,99.09671941079863,159.75635123396754,152.49850447743717
-1.29,99.3377838758825,73.67331072287101,109.98145343289725,169.97201079768126,144.8853055038763
-1.28,100.49534857362224,72.6009504947773,118.33685347086903,174.8783144410294,144.521758496924
-1.26,101.53394369028594,78.8409221634686,118.58474023374019,174.16560291701728,141.81692039977048
-1.25,100.25438924999666,70.32610183859698,117.54244191727025,168.96108788655206,137.73968176936842
-1.24,100.7450435636205,73.48109686031283,113.51661305401487,171.64959836101062,152.90428148088367
-1.22,101.35764051768496,73.99045506687021,115.9057581677233,170.00205748676788,149.65654236557208
-1.2,101.17890163475093,70.56071109641611,115.74576355328045,169.56727445274151,151.22531221227115
-1.19,100.28609237255812,68.90701180730042,116.51115754336143,159.91125049692866,126.88473315455114
-1.18,101.2524481754111,78.57090712982254,116.46578422036313,163.2987166639397,133.76559559841226
-1.17,98.51181699336605,72.12284747452746,101.22473877575918,146.4842462863122,134.1255014715894
-1.16,98.66630657951315,70.01005407007031,103.96611354690158,147.23492514021444,128.78597448079637
-1.15,97.37814703536583,70.0004551413909,96.86087871448855,141.38845305277778,136.2985911722369
-1.14,100.4753449844133,71.30449251546416,115.58173921698956,153.5404221532633,129.37291506882474
-1.13,100.52076013369518,87.21388338471199,114.37440396939286,152.4147357918244,117.7381577244956
-1.12,98.40071681100773,68.73634966775836,102.88634135987601,147.07251634544147,138.28093123707274
-1.1,102.66511096408841,79.81754513201197,116.98143269937528,154.68384852492318,134.59915745009022
-1.09,98.9195743992095,68.17729044693546,105.73360722739721,148.27826210921504,137.51420345560837
-1.08,100.83087319203152,74.24611088952201,114.7003721484217,148.64039961465772,115.88156909066993
-1.07,99.66143456658651,65.13224692894507,113.34695997258265,141.85107864063588,117.58118562531497
-1.06,100.29155677533865,68.71894269248622,111.91766299393993,150.40443543199552,136.04457875910927
-1.05,101.171962130391,75.18257670401843,114.14412636735491,147.23860008978497,124.54907165869382
